stringId,symbol,degree,degree centrality,betweenness centrality,clustering coefficient,weighted degree (score),weighted degree normalized (score),weighted betweenness centrality (1 - score),weighted betweenness centrality (1 / score),weighted betweenness centrality (-log(score)),weighted clustering coefficient (score),is hub (consensus)
9606.ENSP00000215832,MAPK1,51.0,0.5151515151515152,0.0032438226656355497,0.8172549019607843,40.121,0.011428296348961113,0.07695960101649651,0.0010307153164296021,0.07730364873222016,0.6315433881038698,False
9606.ENSP00000221930,TGFB1,61.0,0.6161616161616162,0.0051466054738290535,0.7513661202185792,40.47,0.011527707515826031,0.0,0.0018552875695732837,0.0,0.5112627238922264,False
9606.ENSP00000222139,EPOR,21.0,0.21212121212121213,0.0009047921984545461,0.7476190476190476,13.246,0.003773066808861666,0.0202020202020202,0.0,0.0202020202020202,0.49975660584116766,False
9606.ENSP00000226574,NFKB1,62.0,0.6262626262626263,0.002215731501055282,0.8212585933368588,44.031,0.012542043232748603,0.03195217480931766,0.0016491445062873633,0.031746031746031744,0.5828530326459817,False
9606.ENSP00000227507,CCND1,82.0,0.8282828282828284,0.013950587497021676,0.641674194519723,60.811,0.017321754923273952,0.011602418745275886,0.006390434961863533,0.0013055727341441624,0.4727560826616272,False
9606.ENSP00000229307,NANOG,44.0,0.4444444444444445,0.0005387176759803094,0.9059196617336153,27.355,0.007791955500257502,0.0,0.0,0.0,0.5848594074469805,False
9606.ENSP00000231790,MLH1,46.0,0.4646464646464647,0.004403933993121865,0.7111111111111111,31.003,0.008831072797458721,0.0012093726379440663,0.0012368583797155224,0.0011406582835154263,0.4898954953866238,False
9606.ENSP00000233146,MSH2,44.0,0.4444444444444445,0.002884260150897223,0.7558139534883721,30.271,0.008622565708217688,0.015584906401232937,0.00020614306328592042,0.01568061568061568,0.5269849974429681,False
9606.ENSP00000234420,MSH6,44.0,0.4444444444444445,0.00290200936070474,0.7547568710359408,29.213,0.008321198904369307,0.015584906401232937,0.00020614306328592042,0.01568061568061568,0.5144650604157974,False
9606.ENSP00000241453,FLT3,37.0,0.37373737373737376,0.0012519043109719792,0.8543543543543544,21.709,0.006183716393898377,0.0,0.0,0.0,0.5419267555855402,False
9606.ENSP00000252723,EPO,30.0,0.30303030303030304,0.001433173301794782,0.7885057471264367,19.52,0.005560189046427579,0.0,0.0008245722531436817,0.0,0.5294396595195939,False
9606.ENSP00000256078,KRAS,81.0,0.8181818181818182,0.011073544323626927,0.6561728395061729,58.619,0.016697373038552166,0.050460014343749665,0.013193156050298907,0.056689342403628114,0.4695189502659385,False
9606.ENSP00000256442,CCNB1,56.0,0.5656565656565657,0.0031196523703139675,0.7655844155844156,35.644,0.010153041924736917,0.008895073180787468,0.0,0.019171304885590598,0.5071376709058061,False
